###一聲 ###
ㄐㄧㄡˊ	jiu2
#ㄐㄧㄢˊ	jian2
ㄐㄧㄣˊ	jin2
#ㄐㄧㄤˊ	jiang2
#ㄐㄧㄥˊ	jing2
ㄐㄩˊ	ju2
ㄐㄩㄝˊ	jue2
#ㄐㄩㄢˊ	juan2
#ㄐㄩㄣˊ	jun2
#ㄐㄩㄥˊ	jiong2
ㄑㄧˊ	qi2
ㄑㄧㄚˊ	qia2
ㄑㄧㄝˊ	qie2
ㄑㄧㄠˊ	qiao2
ㄑㄧㄡˊ	qiu2
ㄑㄧㄢˊ	qian2
ㄑㄧㄣˊ	qin2
ㄑㄧㄤˊ	qiang2
ㄑㄧㄥˊ	qing2
ㄑㄩˊ	qu2
ㄑㄩㄝˊ	que2
ㄑㄩㄢˊ	quan2
ㄑㄩㄣˊ	qun2
ㄑㄩㄥˊ	qiong2
ㄒㄧˊ	xi2
ㄒㄧㄚˊ	xia2
ㄒㄧㄝˊ	xie2
ㄒㄧㄠˊ	xiao2
ㄒㄧㄡˊ	xiu2
ㄒㄧㄢˊ	xian2
ㄒㄧㄣˊ	xin2
ㄒㄧㄤˊ	xiang2
ㄒㄧㄥˊ	xing2
ㄒㄩˊ	xu2
ㄒㄩㄝˊ	xue2
ㄒㄩㄢˊ	xuan2
ㄒㄩㄣˊ	xun2
ㄒㄩㄥˊ	xiong2
ㄓㄚˊ	zha2
ㄓㄜˊ	zhe2
ㄓㄞˊ	zhai2
#ㄓㄟˊ	zhei2
ㄓㄠˊ	zhao2
ㄓㄡˊ	zhou2
ㄓㄢˊ	zhan2
ㄓㄣˊ	zhen2
#ㄓㄤˊ	zhang2
#ㄓㄥˊ	zheng2
ㄓㄨˊ	zhu2
#ㄓㄨㄚˊ	zhua2
ㄓㄨㄛˊ	zhuo2
#ㄓㄨㄞˊ	zhuai2
#ㄓㄨㄟˊ	zhui2
#ㄓㄨㄢˊ	zhuan2
#ㄓㄨㄣˊ	zhun2
#ㄓㄨㄤˊ	zhuang2
#ㄓㄨㄥˊ	zhong2
ㄔㄚˊ	cha2
ㄔㄜˊ	che2
ㄔㄞˊ	chai2
ㄔㄠˊ	chao2
ㄔㄡˊ	chou2
ㄔㄢˊ	chan2
ㄔㄣˊ	chen2
ㄔㄤˊ	chang2
ㄔㄥˊ	cheng2
ㄔㄨˊ	chu2
#ㄔㄨㄚˊ	chua2
#ㄔㄨㄛˊ	chuo2
ㄔㄨㄞˊ	chuai2
ㄔㄨㄟˊ	chui2
ㄔㄨㄢˊ	chuan2
ㄔㄨㄣˊ	chun2
ㄔㄨㄤˊ	chuang2
ㄔㄨㄥˊ	chong2
ㄕㄚˊ	sha2
ㄕㄜˊ	she2
#ㄕㄞˊ	shai2
ㄕㄟˊ	shei2
ㄕㄠˊ	shao2
ㄕㄡˊ	shou2
ㄕㄢˊ	shan2
ㄕㄣˊ	shen2
#ㄕㄤˊ	shang2
ㄕㄥˊ	sheng2
ㄕㄨˊ	shu2
#ㄕㄨㄚˊ	shua2
#ㄕㄨㄛˊ	shuo2
#ㄕㄨㄞˊ	shuai2
ㄕㄨㄟˊ	shui2
#ㄕㄨㄢˊ	shuan2
#ㄕㄨㄣˊ	shun2
ㄕㄨㄤˊ	shuang2
#ㄕㄨㄥˊ	shong2
ㄖㄜˊ	re2
ㄖㄠˊ	rao2
ㄖㄡˊ	rou2
ㄖㄢˊ	ran2
ㄖㄣˊ	ren2
ㄖㄤˊ	rang2
ㄖㄥˊ	reng2
ㄖㄨˊ	ru2
ㄖㄨㄛˊ	ruo2
ㄖㄨㄟˊ	rui2
ㄖㄨㄚˊ	rua2
ㄖㄨㄢˊ	ruan2
ㄖㄨㄣˊ	run2
ㄖㄨㄥˊ	rong2
ㄗㄚˊ	za2
ㄗㄜˊ	ze2
#ㄗㄞˊ	zai2
ㄗㄟˊ	zei2
ㄗㄠˊ	zao2
#ㄗㄡˊ	zou2
ㄗㄢˊ	zan2
#ㄗㄣˊ	zen2
ㄗㄤˊ	zang2
ㄗㄥˊ	zeng2
ㄗㄨˊ	zu2
ㄗㄨㄛˊ	zuo2
ㄗㄨㄟˊ	zui2
#ㄗㄨㄢˊ	zuan2
#ㄗㄨㄣˊ	zun2
#ㄗㄨㄥˊ	zong2
#ㄘㄚˊ	ca2
#ㄘㄜˊ	ce2
ㄘㄞˊ	cai2
ㄘㄠˊ	cao2
#ㄘㄡˊ	cou2
ㄘㄢˊ	can2
ㄘㄣˊ	cen2
ㄘㄤˊ	cang2
ㄘㄥˊ	ceng2
ㄘㄨˊ	cu2
ㄘㄨㄛˊ	cuo2
#ㄘㄨㄟˊ	cui2
ㄘㄨㄢˊ	cuan2
ㄘㄨㄣˊ	cun2
ㄘㄨㄥˊ	cong2
#ㄙㄚˊ	sa2
#ㄙㄜˊ	se2
ㄙㄞˊ	sai2
#ㄙㄟˊ	sei2
#ㄙㄠˊ	sao2
#ㄙㄡˊ	sou2
#ㄙㄢˊ	san2
#ㄙㄣˊ	sen2
#ㄙㄤˊ	sang2
#ㄙㄥˊ	seng2
ㄙㄨˊ	su2
ㄙㄨㄛˊ	suo2
ㄙㄨㄟˊ	sui2
#ㄙㄨㄢˊ	suan2
#ㄙㄨㄣˊ	sun2
ㄙㄨㄥˊ	song2
ㄧㄚˊ	ya2
#ㄧㄛˊ	yo2
ㄧㄝˊ	ye2
ㄧㄞˊ	yai2
ㄧㄠˊ	yao2
ㄧㄡˊ	you2
ㄧㄢˊ	yan2
